data_type,file_name,min,10th_percentile,median,90th_percentile,max,mean,std,range
CDD,CDD_historical_mean_v1,0.0,0.0,77.57559204101562,2903.6232666015626,5125.4990234375,792.1025390625,1183.486572265625,0.0 - 5125.4990234375
CDD,CDD_historical_median_v1,0.0,0.0,73.1474609375,2889.707543945313,5121.396484375,788.7106323242188,1181.677734375,0.0 - 5121.396484375
CDD,CDD_historical_quantile10_v1,0.0,0.0,42.583560943603516,2701.4355957031253,4923.96875,716.8566284179688,1103.56591796875,0.0 - 4923.96875
CDD,CDD_historical_quantile90_v1,0.0,0.0,114.79414367675781,3104.967236328125,5307.73291015625,869.1552124023438,1265.9627685546875,0.0 - 5307.73291015625
CDD,CDD_historical_stdv_v1,0.0,0.0,24.502620697021484,108.69587554931645,217.1023712158203,40.59537887573242,44.82452392578125,0.0 - 217.1023712158203
CDD,CDD_scenario15_mean_v1,0.0,0.0,127.82463073730469,3160.145751953127,5328.86767578125,887.7161865234375,1277.6246337890625,0.0 - 5328.86767578125
CDD,CDD_scenario15_median_v1,0.0,0.0,107.58680725097656,3144.202099609375,5323.28515625,874.663818359375,1274.5313720703125,0.0 - 5323.28515625
CDD,CDD_scenario15_quantile10_v1,0.0,0.0,36.66415023803711,2702.7283691406265,4805.1513671875,708.0136108398438,1099.127197265625,0.0 - 4805.1513671875
CDD,CDD_scenario15_quantile90_v1,0.0,0.0,241.26510620117188,3654.4255859375003,5846.8828125,1083.9334716796875,1469.908203125,0.0 - 5846.8828125
CDD,CDD_scenario15_stdv_v1,0.0,0.0,70.78606414794922,216.07286987304695,394.05950927734375,89.64915466308594,91.53571319580078,0.0 - 394.05950927734375
CDD,CDD_scenario20_mean_v1,0.0,0.0,161.4669189453125,3366.6929199218757,5547.26513671875,959.338623046875,1356.9571533203125,0.0 - 5547.26513671875
CDD,CDD_scenario20_median_v1,0.0,0.0,139.39776611328125,3351.455346679688,5544.6591796875,945.586669921875,1354.27294921875,0.0 - 5544.6591796875
CDD,CDD_scenario20_quantile10_v1,0.0,0.0,51.45414733886719,2892.2830322265627,5037.03369140625,767.758544921875,1172.281005859375,0.0 - 5037.03369140625
CDD,CDD_scenario20_quantile90_v1,0.0,0.0,293.41680908203125,3875.7281005859377,6061.96630859375,1168.25390625,1555.2884521484375,0.0 - 6061.96630859375
CDD,CDD_scenario20_stdv_v1,0.0,0.0,80.64163970947266,226.5876449584961,401.67755126953125,95.6408462524414,95.6413345336914,0.0 - 401.67755126953125
HDD,HDD_historical_mean_v1,0.0,31.588426971435535,6971.3466796875,22493.2931640625,25452.541015625,9002.662109375,8115.5439453125,0.0 - 25452.541015625
HDD,HDD_historical_median_v1,0.0,30.398602294921858,6932.41015625,22524.8591796875,25358.30859375,9001.6552734375,8126.8623046875,0.0 - 25358.30859375
HDD,HDD_historical_quantile10_v1,0.0,13.898382282257074,6362.2119140625,21904.1138671875,24971.763671875,8583.9267578125,7941.26318359375,0.0 - 24971.763671875
HDD,HDD_historical_quantile90_v1,0.0,51.568553924560526,7638.466796875,23105.7201171875,26095.5,9429.4140625,8293.107421875,0.0 - 26095.5
HDD,HDD_historical_stdv_v1,0.0,11.956868362426757,239.5904541015625,360.7837371826172,538.9428100585938,211.15972900390625,127.08214569091797,0.0 - 538.9428100585938
HDD,HDD_scenario15_mean_v1,0.0,27.688187789916977,6555.03955078125,22285.6677734375,25230.3828125,8779.6708984375,8068.2294921875,0.0 - 25230.3828125
HDD,HDD_scenario15_median_v1,0.0,19.62253990173339,6507.982421875,22298.241601562502,25228.294921875,8771.9462890625,8082.2607421875,0.0 - 25228.294921875
HDD,HDD_scenario15_quantile10_v1,0.0,3.8686678886413555,5429.68212890625,21205.976171875,24174.84765625,7990.45166015625,7745.7626953125,0.0 - 24174.84765625
HDD,HDD_scenario15_quantile90_v1,0.0,59.87327842712402,7748.9501953125,23361.046679687504,26354.853515625,9577.93359375,8386.6484375,0.0 - 26354.853515625
HDD,HDD_scenario15_stdv_v1,0.0,20.12438583374023,409.42510986328125,588.4465637207031,814.0404663085938,350.2161865234375,203.47630310058594,0.0 - 814.0404663085938
HDD,HDD_scenario20_mean_v1,0.0,18.840269851684567,6296.95849609375,22095.9962890625,25039.81640625,8620.45703125,8026.3056640625,0.0 - 25039.81640625
HDD,HDD_scenario20_median_v1,0.0,12.310589599609374,6257.87060546875,22125.225000000002,25045.814453125,8617.6318359375,8044.861328125,0.0 - 25045.814453125
HDD,HDD_scenario20_quantile10_v1,0.0,1.9625977993011459,5189.705078125,20979.663476562502,23960.873046875,7832.73974609375,7693.28857421875,0.0 - 23960.873046875
HDD,HDD_scenario20_quantile90_v1,0.0,42.920826721191396,7469.0126953125,23178.425390625,26157.8515625,9411.283203125,8350.0751953125,0.0 - 26157.8515625
HDD,HDD_scenario20_stdv_v1,0.0,15.812216663360596,411.8145751953125,590.1434143066407,812.1382446289062,350.493408203125,206.6552734375,0.0 - 812.1382446289062
